staying,107
nay,107
t,107
sea,107
shoulder,107
post,106
lot,106
catch,106
wishing,106
persuaded,106
sought,106
dry,106
england,106
bois,106
thy,106
wet,106
action,105
lovel,105
prevented,105
approached,105
crossed,105
abroad,105
touched,105
succeeded,105
matters,105
wholly,105
veslovsky,105
army,104
vernon,104
kiss,104
gratitude,104
choose,104
growing,104
fate,104
parlour,104
coachman,104
edgar,104
oblonsky,104
clearly,104
bottom,104
lifted,103
wretched,103
start,103
welcome,103
indifference,103
information,103
circumstance,103
addressed,103
russia,103
estate,103
haste,103
pounds,103
yard,103
familiar,103
until,103
pulled,103
amiable,103
somewhat,103
proved,102
affected,102
month,102
working,102
friendship,102
imagined,102
due,102
count,102
highly,102
entering,102
disappointment,102
hung,102
space,102
astonishment,102
comfortable,102
fields,102
bound,102
judgment,102
seven,102
ordered,102
paid,102
rise,102
frame,101
learned,101
settle,101
frequently,101
baby,101
wasnt,101
disposed,100
dared,100
flowers,100
gazed,100
empty,100
colour,100
bathshebas,100
lately,100
presently,100
agitation,99
fallen,99
otherwise,99
lie,99
eagerly,99
movement,99
higher,99
consent,99
freedom,99
flung,99
worst,99
visible,99
peculiar,99
fetch,99
removed,99
proposed,99
splendid,99
credit,99
mans,99
heads,99
ended,99
resolution,99
explanation,98
uttered,98
anger,98
bowed,98
distant,98
thornfield,98
shot,98
weatherbury,98
bringing,98
prove,98
utmost,98
charming,98
exceedingly,98
walls,97
result,97
betsy,97
grey,97
ivanovna,97
ellen,97
thick,97
law,97
property,97
relief,97
persuade,97
places,97
ha,96
unknown,96
hay,96
enjoyment,96
regarded,96
eyre,96
discovered,96
supper,96
gentle,96
apart,96
useful,96
secure,95
consideration,95
invitation,95
shaking,95
passage,95
food,95
astonished,95
forth,95
charge,95
dreadful,95
lizzy,95
considering,95
guess,94
longed,94
somewhere,94
refuse,94
inclination,94
pressed,94
admiral,94
attended,94
showing,93
advanced,93
grace,93
carefully,93
ere,93
thrown,93
according,93
occupied,93
expecting,93
setting,93
grateful,93
race,93
sorrow,92
dull,92
nearer,92
tongue,92
connection,92
sides,92
darkness,92
habit,92
stage,92
music,92
shop,92
shant,92
evident,92
box,92
teeth,92
reflection,92
naturally,92
excitement,92
wondered,91
marked,91
forehead,91
ways,91
divorce,91
unable,91
spread,91
forgot,91
imagination,91
houses,91
capable,91
quarter,91
wonderful,91
request,91
voices,91
brown,91
office,91
stupid,91
playing,91
obviously,90
river,90
annas,90
flew,90
friendly,90
roof,90
accepted,89
carry,89
farm,89
chamber,89
clouds,89
suit,89
sofa,89
lighted,89
lives,89
seized,89
bid,89
lovely,89
bell,89
contempt,89
played,89
weve,89
crying,89
grange,89
finally,88
seriously,88
longbourn,88
endure,88
shadow,88
ladyship,88
delay,88
aloud,88
takes,88
attend,88
sufficient,88
thanks,88
alarm,88
vronskys,88
wanting,87
previous,87
womans,87
civility,87
district,87
killed,87
dislike,87
indifferent,87
folly,87
truly,87
maid,87
claim,87
fashion,87
repeat,87
needed,87
gathered,87
false,87
happen,87
lead,87
engagement,86
library,86
harm,86
prospect,86
honest,86
earnest,86
receiving,86
cast,86
earlier,86
fortnight,86
concerning,86
whisper,86
kindly,85
proof,85
leaning,85
weary,85
officers,85
silly,85
shooting,85
required,85
points,85
properly,85
various,85
narrow,85
driven,85
boys,85
pointing,85
bore,84
sign,84
bare,84
superior,84
unpleasant,84
humour,84
guard,84
game,84
gardiner,84
ing,84
enjoy,84
sentence,84
agree,84
dancing,84
autumn,84
dread,83
sounds,83
government,83
marrying,83
nelly,83
measure,83
conclusion,83
cheek,83
experience,83
concerned,83
connected,83
governess,82
utter,82
tender,82
carrying,82
gradually,82
approach,82
theyve,82
ignorant,82
warmth,82
cap,82
thinks,81
report,81
aid,81
knees,81
charm,81
comprehend,81
edge,81
details,81
produced,81
although,81
intelligence,81
faint,81
wound,81
introduced,81
building,81
dignity,81
ingram,81
laughter,81
observe,81
midst,80
weakness,80
rate,80
fearful,80
villars,80
confess,80
duties,80
grief,80
instance,80
paused,80
ordinary,80
carbon,80
illness,80
hurried,80
mark,80
invited,80
glancing,79
birth,79
anyway,79
declared,79
wifes,79
shone,79
sees,79
delicacy,79
wedding,79
explained,78
demanded,78
anywhere,78
nine,78
tale,78
violent,78
acting,78
class,78
fears,78
noble,78
hospital,78
attached,78
bitter,78
rapidly,78
sympathy,78
altered,78
clean,78
accident,78
thou,78
thoroughly,78
throw,77
key,77
efforts,77
couple,77
possibility,77
discover,77
christmas,77
uppercross,77
assistance,77
arose,77
jumped,77
endeavour,77
melancholy,77
depend,77
ride,77
pursued,76
kittys,76
number,76
railway,76
mamma,76
command,76
niece,76
parties,76
plans,76
sank,76
cup,76
departure,76
task,76
earnestly,76
dr,76
relation,76
hint,76
finish,76
revolution,76
shape,76
capital,76
manage,76
court,76
conscience,76
bedroom,76
stretched,76
masters,76
heres,76
beaumont,76
uneasiness,76
angrily,76
drop,76
suggested,76
poorgrass,76
arranged,76
intimate,76
jealousy,75
bow,75
amongst,75
recalled,75
pasha,75
spare,75
moreover,75
cadets,75
deserve,75
jealous,75
sunday,75
cool,75
extreme,75
ring,75
eldest,75
curtain,75
insisted,75
